college_name,city,state,rank
"Indian Institute Of Technology, Madras",Chennai,Tamil Nadu,1
"Indian Institute Of Science Education & Research, Mohali",Mohali,Punjab,1
Indian Institute of Science Bangalore,Bengaluru,Karnataka,1
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1
"Indian Institute Of Technology, Bombay",Bombay,Maharashtra,2
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,2
"Indian Institute Of Technology, Kharagpur",Kharagpur,West Bengal,3
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3
Indian Institute of Technology Delhi,New Delhi,Delhi,3
"Indian Institute Of Technology, Delhi",New Delhi,Delhi,4
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,4
"Indian Institute Of Technology, Kanpur",Kanpur,Uttar Pradesh,5
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5
"Indian Institute Of Technology, Roorkee",Roorkee,Uttarakhand,6
Jawaharlal Nehru University,New Delhi,Delhi,6
"Indian Institute Of Technology, Hyderabad",Hyderabad,Telangana,7
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,7
NIT Trichy - National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,8
"Indian Institute Of Technology, Gandhinagar",Ahmedabad,Gujarat,8
Indian Institute of Technology Guwahati,Guwahati,Assam,8
IIT BHU - Indian Institute of Technology Banaras Hindu University,Varanasi,Uttar Pradesh,9
"Indian Institute Of Technology, Ropar-Rupnagar",Rupnagar,Punjab,9
NIT Surathkal - National Institute of Technology Karnataka,Surathkal,Karnataka,10
"Anna University, Chennai",Chennai,Tamil Nadu,10
"Indian Institute Of Technology, Patna",Patna,Bihar,10
"Jadavpur University, Kolkata",Kolkata,West Bengal,11
"Indian Institute Of Technology, North Guwahati",Guwahati,Assam,11
Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,11
University of Hyderabad,Hyderabad,Telangana,11
Calcutta University,Kolkata,West Bengal,11
VIT Vellore - Vellore Institute of Technology,Vellore,Tamil Nadu,12
"Amrita Vishwa Vidyapeetham, Coimbatore",Coimbatore,Tamil Nadu,12
"National Institute Of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,12
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,12
"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,12
JMI New Delhi - Jamia Millia Islamia,New Delhi,Delhi,13
"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,13
"Indian Institute Of Technology (Banaras Hindu University), Varanasi",Varanasi,Uttar Pradesh,14
University of Delhi,Delhi,Delhi,14
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,14
"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,14
SVNIT Surat - Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,15
AMU Aligarh - Aligarh Muslim University,Aligarh,Uttar Pradesh,16
"Indian Institute Of Technology, Indore",Indore,Madhya Pradesh,16
Savitribai Phule Pune University,Pune,Maharashtra,16
Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,16
BITS Pilani - Birla Institute of Technology and Science,RANCHI,Jharkhand,17
ICT Mumbai - Institute of Chemical Technology,Mumbai,Maharashtra,18
"Visvesvaraya National Institute Of Technology, Nagpur (Deemed University)-Nagpur",Nagpur,Maharashtra,18
"National Institute Of Technology, Rourkela-Rourkela",Rourkela,Odisha,19
"Indian Institute Of Technology, Mandi",Mandi,Himachal Pradesh,20
Homi Bhabha National Institute,Mumbai,Maharashtra,20
Bharathiar University,Coimbatore,Tamil Nadu,20
"College Of Engineering, Pune",PUNE,Maharashtra,21
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,21
"National Institute Of Technology, Karnataka-Mangalore",Mangalore,Karnataka,22
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,Allahabad,Uttar Pradesh,23
Indian Agricultural Research Institute,New Delhi,Delhi,23
Indian Institute of Science Education & Research Pune,Pune,Maharashtra,23
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,23
SRM University Chennai - SRM Institute of Science and Technology,Chennai,Tamil Nadu,24
Psg College Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,24
Indian Institute of Technology Indore,Indore,Madhya Pradesh,24
Indian Institute of Technology Gandhinagar,Ahmedabad,Gujarat,24
Siksha `O` Anusandhan,Bhubaneswar,Odisha,24
"Amity University, Noida",Gautam Budh Nagar,Uttar Pradesh,25
"Indian Institute Of Technology, Jodhpur",Jodhpur,Rajasthan,25
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,25
Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,25
"Indian Institute Of Technology, Bhubaneswar",Bhubaneswar,Odisha,26
"Indian Institute of Science Education & Research, Pune",Pune,Maharashtra,26
KIIT University - Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,27
Thapar University-Patiala,PATIALA,Punjab,27
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,27
Thapar University - Thapar Institute of Engineering and Technology,Patiala,Punjab,28
"National Institute Of Technology, Warangal",Warangal,Telangana,28
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,28
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,28
"Andhra University College of Engineering, Visakhapatnam",Visakhapatnam,Andhra Pradesh,29
Thiagarajar College Of Engineering-Madurai,MADURAI,Tamil Nadu,29
University of Madras,Chennai,Tamil Nadu,29
"National Institute Of Technology, Durgapur",Durgapur,West Bengal,30
Amrita School Of Engineering,KARUNAGAPALLY,Kerala,31
Visva Bharati,Kolkata,West Bengal,31
Indian Institute of Technology Ropar,Rupnagar,Punjab,31
Jamia Hamdard,New Delhi,Delhi,31
VNIT Nagpur - Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,32
"Chandigarh University, Chandigarh",Mohali,Punjab,32
Kalinga Institue Of Industrial Technology,BHUBANESWAR,Odisha,32
Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,32
"Panjab University, Chandigarh",Chandigarh,Chandigarh,33
M. S. Ramaiah Institute Of Technology-Bangalore,BANGALORE,Karnataka,33
Siksha`O` Anusandhan University,Bhubaneswar,Odisha,33
Coimbatore Institute Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,34
National Institute of Technology Rourkela,Rourkela,Odisha,34
Mysore University,Mysore,Karnataka,34
DTU Delhi - Delhi Technological University,New Delhi,Delhi,35
"National Institute Of Technology, Calicut",Calicut,Kerala,35
R.V. College Of Engineering-Bengaluru,BENGALURU,Karnataka,35
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,35
Kerala University,Thiruvananthapuram,Kerala,35
IIEST Shibpur - Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,36
Indian Institute of Technology Patna,Patna,Bihar,36
JSS Academy of Higher Education and Research,Mysore,Karnataka,36
"Malaviya National Institute Of Technology, Jaipur",Jaipur,Rajasthan,37
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,37
Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,37
"University College of Engineering, Osmania University, Hyderabad",Hyderabad,Telangana,38
Pec University Of Technology-Chandigarh,CHANDIGARH,Chandigarh,38
"Kalasalingam Academy of Research and Education, Virudhunagar",Srivilliputtur,Tamil Nadu,39
MIT Manipal - Manipal Institute of Technology,MANIPAL,Karnataka,39
"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,40
"Indian Institute of Science Education & Research, Kolkata",Mohanpur,West Bengal,40
Symbiosis International University,Pune,Maharashtra,40
Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,40
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,40
Jamia Millia Islamia (A Central University),NEW DELHI,Delhi,41
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,41
"Dr. B R Ambedkar National Institute Of Technology, Jalandhar",Jalandhar,Punjab,42
Indian Institute of Science Education and Research Pune,Pune,Maharashtra,42
IIST Thiruvananthapuram - Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,43
Gauhati University,Guwahati,Assam,43
Alagappa University,Karaikudi,Tamil Nadu,43
KL University Guntur - Koneru Lakshmaiah Education Foundation,Guntur,Andhra Pradesh,44
Karunya University - Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,44
"Indian Institute Of Engineering Science And Technology, Shibpur",Howrah,West Bengal,44
LPU Jalandhar - Lovely Professional University,Phagwara,Punjab,45
"Institute Of Technology, Nirma University",Ahmedabad,Gujarat,45
National Institute of Technology Warangal,Warangal,Telangana,45
National Institute of Technology Calicut,Kozhikode,Kerala,45
MNIT Jaipur - Malaviya National Institute of Technology,Jaipur,Rajasthan,46
KEC Erode - Kongu Engineering College,PERUNDURAI,Tamil Nadu,46
"Tezpur University, Tezpur",Tezpur,Assam,46
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,46
sona College Of Technology-Salem,SALEM,Tamil Nadu,47
SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,48
"National Institute Of Technology, Kurukshetra",Kurukshetra,Haryana,48
"Visvesvaraya Technological University, Belagavi",Belgaum,Karnataka,49
Pondicherry Engineering College,PUDUCHERRY,Pondicherry,49
TATA Institute of Social Sciences,Mumbai,Maharashtra,49
Mahatma Gandhi University,Kottayam,Kerala,49
"Amrita Viswa Vidyapeetham-Amrita Nagar (Po) ,Ettimadai","AMRITA NAGAR (PO) ,ETTIMADAI",Tamil Nadu,50
Cochin University Of Science And Technology-Cochin,COCHIN,Kerala,50
"National Institute Of Technology, Hamirpur",Hamirpur,Himachal Pradesh,51
"National Institute Of Technology, Agartala",Agartala,Tripura,52
G. B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,52
Kumaraguru College Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,53
Sathyabama University - Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,54
B.S. Abdur Rahman Institute Of Science And Technology,Chennai,Tamil Nadu,54
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,54
S.R.M Institute of Science and Technology,Chennai,Tamil Nadu,55
Indian Institute of Science Education & Research Mohali,Mohali,Punjab,55
Bharathidasan University,Tiruchirappalli,Tamil Nadu,55
Sant Longowal Institute Of Engineering & Technology-Sangrur,Sangrur,Punjab,56
PSG Tech Coimbatore - PSG College of Technology,Coimbatore,Tamil Nadu,57
"National Institute Of Technology, Meghalaya",Shillong,Meghalaya,57
National Institute of Technology Surathkal,Surathkal,Karnataka,57
Itm University - Gwalior (School Of Engineering & Technology)-Gwalior,GWALIOR,Madhya Pradesh,58
"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad,Telangana,58
Indian Institute of Science Education & Research Thiruvananthapuram,Thiruvananthapuram,Kerala,58
University of Kashmir,Srinagar,Jammu and Kashmir,58
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,58
"Banasthali Vidyapith, Banasthali",Banasthali,Rajasthan,59
UPES Dehradun - University of Petroleum and Energy Studies,Dehradun,Uttarakhand,59
Pondicherry University,Puducherry,Pondicherry,59
JIIT Noida - Jaypee Institute of Information Technology,Noida,Uttar Pradesh,60
Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,60
"National Institute of Mental Health & Neuro Sciences, Bangalore",Bengaluru,Karnataka,60
Bharati Vidyapeeth Deemed University College Of Engineering-Pune,PUNE,Maharashtra,61
Sri Ramachandra University,Chennai,Tamil Nadu,61
Indian Institute of Science Education and Research Kolkata,Mohanpur,West Bengal,61
Bannari Amman Institute Of Technology-Sathyamangalam,SATHYAMANGALAM,Tamil Nadu,62
Anand Agricultural University,Anand,Gujarat,62
North Eastern Hill University,Shillong,Meghalaya,62
Gujarat University,Ahmedabad,Gujarat,62
"National Institute Of Technology, Raipur",Raipur,Chhattisgarh,63
Dr. D. Y. Patil Vidyapeeth Pune,Pune,Maharashtra,63
"Graphic Era University, Dehradun",Dehradun,Uttarakhand,64
Vishwakarma Institute Of Technology-Pune,PUNE,Maharashtra,64
Indian Institute of Science Education and Research Mohali,Mohali,Punjab,64
"National Institute Of Technology, Silchar",Silchar,Assam,65
Noorul Islam Centre For Higher Education,Kanyakumari,Tamil Nadu,66
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,66
"National Institute Of Technology, Srinagar",Kashmir,Jammu and Kashmir,67
SVU Tirupati - Sri Venkateswara University,Tirupati,Andhra Pradesh,68
"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",JALGAON,Maharashtra,68
National Institute Of Science & Technology-Berhampur,BERHAMPUR,Odisha,69
Madurai Kamraj University,Madurai,Tamil Nadu,69
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,69
Siddaganga Institute Of Technology-Tumkur,TUMKUR,Karnataka,70
Chaitanya Bharathi Institute Of Technology-Hyderabad,HYDERABAD,Telangana,71
National Institute of Technology Durgapur,Durgapur,West Bengal,71
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,71
Hindustan Institute Of Technology And Science (Hits),Chennai,Tamil Nadu,72
Shiv Nadar University,Chithera,Uttar Pradesh,72
Sagi Ramakrishnam Raju Engineering College-Bhimavaram,BHIMAVARAM,Andhra Pradesh,73
GGSIPU Delhi - Guru Gobind Singh Indraprastha University,New Delhi,Delhi,74
C.V.Raman College Of Engineering-Bhubaneswar,BHUBANESWAR,Odisha,74
Jagadguru Sri Shivarathreeshwara University,Mysore,Karnataka,74
Kasegaon Education Societys Rajarambapu Institute Of Technology-Islampur,ISLAMPUR,Maharashtra,75
"Indian Statistical Institute, Kolkata",Kolkata,West Bengal,75
"National Institute Of Technology, Goa",Ponda,Goa,76
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,76
"Pandit Dwarka Prasad Mishra Indian Institute Of Information Technology, Design And Manufacturing (IIITDM), Jabalpur",Jabalpur,Madhya Pradesh,77
University of Jammu,Jammu Tawi,Jammu and Kashmir,77
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,77
"National Institute Of Technology, Jamshedpur",Jamshedpur,Jharkhand,78
Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,78
Indian Institute of Science Education and Research Bhopal,Bhopal,Madhya Pradesh,78
"Indian Institute Of Information Technology, Design & Manufacturing (IIITD&M) Kancheepuram-Chennai",Chennai,Tamil Nadu,80
Sri Sivasubrmaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,80
Guru Nanak Dev University,Amritsar,Punjab,80
Centurion Institute Of Technology,JATNI,Odisha,81
Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,81
Mumbai University,Mumbai,Maharashtra,81
College Of Technology And Engineering-Udaipur,UDAIPUR,Rajasthan,82
Madurai Kamaraj University,Madurai,Tamil Nadu,83
National Institute of Technology Silchar,Silchar,Assam,83
VJTI Mumbai - Veermata Jijabai Technological Institute,MUMBAI,Maharashtra,84
Dr. Y.S.Parmar University of Horticulture & Forestry,Solan,Himachal Pradesh,84
KLE Academy of Higher Education and Research,Belagavi,Karnataka,84
TCE Madurai - Thiagarajar College of Engineering,Madurai,Tamil Nadu,85
K. K. Wagh Institute Of Engineering Education & Research-Nashik,NASHIK,Maharashtra,85
University of Agricultural Sciences,Dharwad,Karnataka,85
"National Institute Of Technology, Patna",Patna,Bihar,87
Indian Institute of Crop Processing Technology,Thanjavur,Tamil Nadu,87
BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,88
"Vignan's Foundation For Science, Technology And Research",Guntur,Andhra Pradesh,88
Shri Guru Gobind Singhji Institute Of Engineering And Technology-Nanded,NANDED,Maharashtra,89
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,89
DEI Agra - Dayalbagh Educational Institute,Agra,Uttar Pradesh,90
"Christ University, Bangalore",Bengaluru,Karnataka,90
Sri Ramakrishna Engineering College-Coimbatore,COIMBATORE,Tamil Nadu,90
Calicut University,Calicut,Kerala,90
Bengal Institute Of Technology,KOLKATA,West Bengal,91
Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,91
"Annamalai University, Annamalai Nagar",Annamalainagar,Tamil Nadu,92
"National Institute Of Technology, Delhi",Delhi,Delhi,92
Yeshwantrao Chavan College Of Engineering-Nagpur,NAGPUR,Maharashtra,93
Adhiyamaan College Of Engineering (Engineering & Technology),HOSUR,Tamil Nadu,94
Mizoram University,Aizwal,Mizoram,94
Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,94
KUK Kurukshetra - Kurukshetra University,Kurushetra,Haryana,95
NIE Mysore - The National Institute of Engineering,MYSORE,Karnataka,96
"Government College Of Engineering, Aurangabad (Academic Autonomous)",AURANGABAD,Maharashtra,97
Periyar University,Salem,Tamil Nadu,97
Acharya Nagarjuna University,Guntur,Andhra Pradesh,97
"Bangalore University, Bangalore",Bangalore,Karnataka,98
Anand Institute Of Higher Technology,CHENNAI,Tamil Nadu,98
"Indian Institute of Science Education & Research, Bhopal",Bhopal,Madhya Pradesh,98
Goa University,Goa,Goa,98
Manipal University Jaipur,Jaipur,Rajasthan,98
NMIT Bangalore - Nitte Meenakshi Institute of Technology,Mangaluru,Karnataka,99
MMMUT Gorakhpur - Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,99
Noida Institute Of Engineering & Technology,GAUTAM BUDH NAGAR,Uttar Pradesh,99
University Institute Of Chemical Engineering And Technology,CHANDIGARH,Chandigarh,100
IIT Madras - Indian Institute of Technology,Chennai,Tamil Nadu,1
IIT Delhi - Indian Institute of Technology,New Delhi,Delhi,2
IIT Bombay - Indian Institute of Technology,Mumbai,Maharashtra,3
